TIMESTAMP,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~THROUGHPUT~TPS,2013-12-27_08:34~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-27_08:34~UN*X~SWAP_SPACE~SWAP~USED,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~RUNNING~VALUE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~COMPLETED~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~DISCARDED~PER_SECOND,2013-12-27_08:34~UN*X~MAIN~CPU~USAGE_(%),2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~SENT~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~TIME_TAKEN~AVERAGE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~QUEUED~VALUE
00:03:47,10.0,217,0,0.548,10.0,,,10.0,58.18181818181818,0.0
00:03:48,10.0,217,0,0.609,10.0,,,10.0,55.09090909090909,0.0
00:03:49,10.0,217,0,0.555,10.0,,,10.0,55.5,0.0
00:03:50,10.0,217,0,0.548,10.0,,,10.0,55.1,0.0
00:03:51,10.0,217,0,0.597,10.0,,,10.0,55.81818181818182,0.0
00:03:52,10.0,217,0,0.516,10.0,,,10.0,53.2,0.0
00:03:53,10.0,217,0,0.532,10.0,,,10.0,53.45454545454545,0.0
00:03:54,10.0,217,0,0.557,10.0,,,10.0,53.54545454545455,0.0
00:03:55,10.0,217,0,0.54,10.0,,,10.0,55.6,0.0
00:03:56,10.0,217,0,0.56,10.0,,,10.0,54.36363636363637,0.0
00:03:57,10.0,217,0,0.545,10.0,,,10.0,57.5,0.0
00:03:58,10.0,217,0,0.577,10.0,,,10.0,55.81818181818182,0.0
00:03:59,10.0,217,0,0.568,10.0,,,10.0,53.3,0.0
00:04:00,10.0,217,0,0.54,10.0,,,10.0,,0.0
00:04:01,10.0,217,0,0.627,10.0,,,10.0,61.54545454545455,0.0
00:04:02,10.0,217,0,0.565,10.0,,,10.0,56.18181818181818,0.0
00:04:03,10.0,217,0,0.537,10.0,,,10.0,53.0,0.0
00:04:04,10.0,217,0,0.595,10.0,,,10.0,59.3,0.0
00:04:05,10.0,217,0,0.579,10.0,,,10.0,55.90909090909091,0.0
00:04:06,10.0,217,0,0.524,10.0,,,10.0,53.5,0.0
00:04:07,10.0,217,0,0.6,10.0,,,10.0,59.8,0.0
00:04:08,10.0,217,0,0.588,10.0,,,10.0,57.36363636363637,0.0
00:04:09,10.0,217,0,0.542,10.0,,,10.0,55.7,0.0
00:04:10,10.0,217,0,0.596,10.0,,,10.0,60.54545454545455,0.0
00:04:11,10.0,217,0,0.611,10.0,,,10.0,55.63636363636363,0.0
00:04:12,10.0,217,0,0.548,10.0,,,10.0,57.8,0.0
00:04:13,10.0,217,0,0.58,10.0,,,10.0,56.90909090909091,0.0
00:04:14,10.0,217,0,0.566,10.0,,,10.0,53.1,0.0
00:04:15,10.0,217,0,0.524,10.0,,,10.0,51.2,0.0
00:04:16,7.0,217,0,0.53,7.0,,,10.0,,0.0
00:04:17,13.0,217,0,2.493,13.0,,,10.0,143.22222222222223,0.0
00:04:18,10.0,217,0,2.443,10.0,,,10.0,234.2941176470588,0.0
00:04:19,9.0,217,0,0.56,10.0,,,10.0,53.18181818181818,0.0
00:04:20,11.0,217,0,0.588,10.0,,,10.0,59.9,0.0
00:04:21,10.0,217,0,0.552,10.0,,,10.0,53.54545454545455,0.0
00:04:22,10.0,217,0,0.555,10.0,,,10.0,55.9,0.0
00:04:23,10.0,217,0,0.615,10.0,,,10.0,60.45454545454545,0.0
00:04:24,10.0,217,0,0.561,10.0,,,10.0,52.9,0.0
00:04:25,10.0,217,0,0.535,10.0,,,10.0,53.36363636363637,0.0
00:04:26,10.0,217,0,0.533,10.0,,,10.0,56.6,0.0
00:04:27,10.0,217,0,0.569,10.0,,,10.0,53.36363636363637,0.0
00:04:28,10.0,217,0,0.526,10.0,,,10.0,51.2,0.0
00:04:29,10.0,217,0,0.544,10.0,,,10.0,58.72727272727273,0.0
00:04:30,10.0,217,0,0.594,10.0,,,10.0,54.7,0.0
00:04:31,10.0,217,0,0.554,10.0,,,10.0,55.63636363636363,0.0
00:04:32,10.0,217,0,0.564,10.0,,,10.0,,0.0
00:04:33,10.0,217,0,0.602,10.0,,,10.0,59.54545454545455,0.0
00:04:34,10.0,217,0,0.558,10.0,,,10.0,55.5,0.0
00:04:35,10.0,217,0,0.568,10.0,,,10.0,56.0,0.0
00:04:36,10.0,217,0,0.605,10.0,,,10.0,59.09090909090909,0.0
00:04:37,10.0,217,0,0.553,10.0,,,10.0,55.54545454545455,0.0
00:04:38,10.0,217,0,0.554,10.0,,,10.0,55.7,0.0
00:04:39,10.0,217,0,0.594,10.0,,,10.0,57.3,0.0
00:04:40,10.0,217,0,0.551,10.0,,,10.0,56.72727272727273,0.0
00:04:41,10.0,217,0,0.545,10.0,,,10.0,54.0,0.0
00:04:42,10.0,217,0,0.577,10.0,,,10.0,60.72727272727273,0.0
00:04:43,10.0,217,0,0.602,10.0,,,10.0,55.54545454545455,0.0
00:04:44,10.0,217,0,0.556,10.0,,,10.0,55.45454545454545,0.0
00:04:45,10.0,217,0,0.56,10.0,,,10.0,56.90909090909091,0.0
00:04:46,10.0,217,0,0.587,10.0,,,10.0,,0.0
00:04:47,10.0,217,0,0.564,10.0,,,10.0,56.09090909090909,0.0
00:04:48,10.0,217,0,0.527,10.0,,,10.0,51.81818181818182,0.0
00:04:49,10.0,217,0,0.589,10.0,,,10.0,61.0,0.0
00:04:50,10.0,223,0,0.565,10.0,,,10.0,53.0,0.0
00:04:51,10.0,223,0,0.538,10.0,,,10.0,55.1,0.0
00:04:52,10.0,223,0,0.544,10.0,,,10.0,53.27272727272727,0.0
00:04:53,10.0,223,0,0.53,10.0,,,10.0,52.3,0.0
00:04:54,10.0,223,0,0.503,10.0,,,10.0,50.81818181818182,0.0
00:04:55,10.0,223,0,0.56,10.0,,,10.0,58.4,0.0
00:04:56,10.0,223,0,0.593,10.0,,,10.0,56.0,0.0
00:04:57,10.0,223,0,0.551,10.0,,,10.0,53.72727272727273,0.0
00:04:58,10.0,223,0,0.553,10.0,,,10.0,60.4,0.0
00:04:59,10.0,223,0,0.59,10.0,,,10.0,54.09090909090909,0.0
00:05:00,10.0,223,0,0.554,10.0,,,10.0,53.45454545454545,0.0
00:05:01,10.0,223,0,0.54,10.0,,,10.0,60.0,0.0
